uniprot1	genesymbol1	geneid1	uniprot2	genesymbol2	geneid2	species	interaction_type	experiment
P50220	Nkx2-1	21869	Q61169	Gata6	14465	mouse	0407:direct interaction	0018:two hybrid
Q9NQL9	DMRT3	58524	Q04864	REL	5966	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q9Y483	MTF2	22823	Q15910	EZH2	2146	human	0915:physical association	0364:inferred by curator; 0004:affinity chromatography technology
Q02447	SP3	6670	P17676	CEBPB	1051	human	0915:physical association	0004:affinity chromatography technology
P03372	ESR1	2099	Q05086	UBE3A	7337	human	0915:physical association	0004:affinity chromatography technology
Q61539	Esrrb	26380	Q61103	Dpf2	19708	mouse	0915:physical association	0004:affinity chromatography technology
Q61169	Gata6	14465	Q8VEE1	Lmcd1	30937	mouse	0915:physical association; 0407:direct interaction	0047:far western blotting; 0004:affinity chromatography technology
Q61466	Smarcd1	83797	Q61539	Esrrb	26380	mouse	0915:physical association	0004:affinity chromatography technology
P31274	HOXC9	3225	P31276	HOXC13	3229	human	0407:direct interaction	0018:two hybrid
Q16666	IFI16	3428	Q13501	SQSTM1	8878	human	0915:physical association	0004:affinity chromatography technology
O95251	KAT7	11143	P54259	ATN1	1822	human	0407:direct interaction	0018:two hybrid
P67809	YBX1	4904	Q9NX58	LYAR	55646	human	0915:physical association	0007:anti tag coimmunoprecipitation
Q16665	HIF1A	3091	Q8WUI4	HDAC7	51564	human	0915:physical association	0004:affinity chromatography technology
P17028	ZNF24	7572	P57086	SCAND1	51282	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach; 0004:affinity chromatography technology
Q8N0Y2	ZNF444	55311	A0A087WUM8	ZNF446	55663	human	0915:physical association	0004:affinity chromatography technology
P61978	HNRNPK	3190	P50616	TOB1	10140	human	0914:association	0676:tandem affinity purification
Q13761	RUNX3	864	Q13526	PIN1	5300	human	0915:physical association	0004:affinity chromatography technology
Q01167	FOXK2	3607	P85037	FOXK1	221937	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q6FG41	FOS	2353	P15336	ATF2	1386	human	0915:physical association; 0914:association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid; 0676:tandem affinity purification; 0081:peptide array; 0055:fluorescent resonance energy transfer; 0096:pull down; 0034:display technology; 0004:affinity chromatography technology
Q12948	FOXC1	2296	Q9P0K8	FOXJ2	55810	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q8TAQ2	SMARCC2	6601	O96019	ACTL6A	86	human	0915:physical association	0226:ion exchange chromatography; 0004:affinity chromatography technology
Q8VDK3	Elf5	13711	Q5BL18	Matr3	17184	mouse	0915:physical association	0004:affinity chromatography technology
Q15365	PCBP1	5093	Q8IX12	CCAR1	55749	human	0915:physical association	0364:inferred by curator
P29037	Tbp	21374	Q3UNW5	Tfcp2l1	81879	mouse	0914:association	0007:anti tag coimmunoprecipitation
P26687	Twist1	22160	P02340	Trp53	22059	mouse	0915:physical association	0006:anti bait coimmunoprecipitation; 0004:affinity chromatography technology
Q08050	FOXM1	2305	P41182	BCL6	604	human	0915:physical association	0004:affinity chromatography technology
Q8NA92	THAP8	199745	Q6FGH9	DYNLL1	8655	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach
P70660	Neurog1	18014	Q62231	Six1	20471	mouse	0915:physical association	0004:affinity chromatography technology
Q9ULX9	MAFF	23764	Q9BYV9	BACH2	60468	human	0915:physical association; 0407:direct interaction	0055:fluorescent resonance energy transfer; 0004:affinity chromatography technology
Q92793	CREBBP	1387	P09016	HOXD4	3233	human	0407:direct interaction	0096:pull down
Q8VDK3	Elf5	13711	Q9CU65	Zmym2	76007	mouse	0915:physical association	0004:affinity chromatography technology
P15923	TCF3	6929	Q9Y265	RUVBL1	8607	human	0914:association	0006:anti bait coimmunoprecipitation
Q5T200	ZC3H13	23091	Q96HR3	MED30	90390	human	0915:physical association	0004:affinity chromatography technology
P17947	SPI1	6688	Q6IT96	HDAC1	3065	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q07352	ZFP36L1	677	P31946	YWHAB	7529	human	0915:physical association; 0407:direct interaction	0096:pull down; 0364:inferred by curator
Q3UNW5	Tfcp2l1	81879	Q9WTM5	Ruvbl2	20174	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P15884	TCF4	6925	O60682	MSC	9242	human	0407:direct interaction	0018:two hybrid
P36508	ZNF76	7629	Q6IT96	HDAC1	3065	human	0915:physical association	0004:affinity chromatography technology
P36956	SREBF1	6720	Q71SY5	MED25	81857	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q08945	SSRP1	6749	P19784	CSNK2A2	1459	human	0915:physical association	0364:inferred by curator
Q14686	NCOA6	23054	O60907	TBL1X	6907	human	0915:physical association	0364:inferred by curator
P38398	BRCA1	672	Q16236	NFE2L2	4780	human	0915:physical association	0004:affinity chromatography technology
Q05516	ZBTB16	7704	P06493	CDK1	983	human	0915:physical association	0004:affinity chromatography technology
Q16666	IFI16	3428	P57740	NUP107	57122	human	0915:physical association	0004:affinity chromatography technology
P05412	JUN	3725	P20749	BCL3	602	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q9UIS9	MBD1	4152	Q9UKZ4	TENM1	10178	human	0407:direct interaction	0018:two hybrid
Q06330	RBPJ	3516	P20226	TBP	6908	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P38398	BRCA1	672	Q01094	E2F1	1869	human	0915:physical association	0004:affinity chromatography technology
Q99459	CDC5L	988	Q9Y4A5	TRRAP	8295	human	0914:association	0006:anti bait coimmunoprecipitation
P03372	ESR1	2099	Q9Y294	ASF1A	25842	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0084:phage display
P04150	NR3C1	2908	O75582	RPS6KA5	9252	human	0915:physical association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P03372	ESR1	2099	Q15424	SAFB	6294	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q80Z64	Nanog	71950	Q8BMQ3	Bnc2	242509	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q13485	SMAD4	4089	P41235	HNF4A	3172	human	0407:direct interaction	0096:pull down
P97875	Jdp2	81703	O70137	Alx3	11694	mouse	0407:direct interaction	0018:two hybrid
Q92925	SMARCD2	6603	Q8TAQ2	SMARCC2	6601	human	0915:physical association	0004:affinity chromatography technology
P49715	CEBPA	1050	P15336	ATF2	1386	human	0407:direct interaction	0018:two hybrid
P05627	Jun	16476	Q91Y86	Mapk8	26419	mouse	0915:physical association; 0407:direct interaction	0004:affinity chromatography technology; 0415:enzymatic study; 0423:in-gel kinase assay
O15353	FOXN1	8456	Q969G3	SMARCE1	6605	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q6ZNB6	NFXL1	152518	Q12952	FOXL1	2300	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q01543	FLI1	2313	P11831	SRF	6722	human	0407:direct interaction	0096:pull down
Q15366	PCBP2	5094	P61978	HNRNPK	3190	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0364:inferred by curator
Q9P0K8	FOXJ2	55810	P25490	YY1	7528	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
O15353	FOXN1	8456	Q12800	TFCP2	7024	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
D0VY79	HIF1A	3091	O00257	CBX4	8535	human	0915:physical association; 0914:association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0402:chromatin immunoprecipitation assay; 0096:pull down; 0007:anti tag coimmunoprecipitation
P14859	POU2F1	5451	O60583	CCNT2	905	human	0915:physical association	0364:inferred by curator
O15198	SMAD9	4093	Q9NQ87	HEYL	26508	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q61539	Esrrb	26380	Q9CQI9	Med30	69790	mouse	0915:physical association	0004:affinity chromatography technology
Q8K310	Matr3	17184	Q921E6	Eed	13626	mouse	0915:physical association	0004:affinity chromatography technology
P15172	MYOD1	4654	Q8IXJ6	SIRT2	22933	human	0914:association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation
Q15910	EZH2	2146	Q9GZV8	PRDM14	63978	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q61179	Irf9	16391	Q04742	Emx1	13796	mouse	0407:direct interaction	0018:two hybrid
O35137	Alx4	11695	Q64317	Dlx1	13390	mouse	0407:direct interaction	0018:two hybrid
Q15583	TGIF1	7050	P56545	CTBP2	1488	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q9JKN5	Olig1	50914	Q9Z2U2	Zfp292	30046	mouse	0407:direct interaction	0018:two hybrid
Q99MZ3	Mlxipl	58805	Q8CGY8	Ogt	108155	mouse	0915:physical association	0004:affinity chromatography technology
P23511	NFYA	4800	P16220	CREB1	1385	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q13469	NFATC2	4773	A8K7B7	PPP2R1A	5518	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q9UBC3	DNMT3B	1789	V9HWG0	CBX5	23468	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P26367	PAX6	5080	P84243	H3F3B	3021	human	0915:physical association	0364:inferred by curator
Q6PJQ5	FOXR2	139628	Q8NDN9	RCBTB1	55213	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P05412	JUN	3725	Q8WVM0	TFB1M	51106	human	0914:association	0006:anti bait coimmunoprecipitation
Q92993	KAT5	10524	P54132	BLM	641	human	0915:physical association	0364:inferred by curator
O14867	BACH1	571	O15525	MAFG	4097	human	0915:physical association; 0914:association; 0407:direct interaction	0055:fluorescent resonance energy transfer; 0007:anti tag coimmunoprecipitation; 0081:peptide array; 0004:affinity chromatography technology
Q9Z0E3	Aire	11634	Q920B9	Supt16	114741	mouse	0914:association	0007:anti tag coimmunoprecipitation
P48443	RXRG	6258	Q07869	PPARA	5465	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach; 0004:affinity chromatography technology
P49711	CTCF	10664	O75376	NCOR1	9611	human	0915:physical association	0364:inferred by curator
Q03989	ARID5A	10865	P10827	THRA	7067	human	0407:direct interaction	0018:two hybrid
P42669	Pura	19290	P25322	Ccnd1	12443	mouse	0407:direct interaction	0096:pull down
Q5BKZ1	ZNF326	284695	Q86VP6	CAND1	55832	human	0915:physical association	0004:affinity chromatography technology
Q9BRR0	ZKSCAN3	80317	Q8N0Y2	ZNF444	55311	human	0915:physical association	0004:affinity chromatography technology
Q92945	KHSRP	8570	Q12946	FOXF1	2294	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
O75467	ZNF324	25799	Q9H4L7	SMARCAD1	56916	human	0915:physical association	0004:affinity chromatography technology
Q9UPW6	SATB2	23314	O14862	AIM2	9447	human	0914:association	0007:anti tag coimmunoprecipitation
Q9Y3Q8	TSC22D4	81628	Q99576	TSC22D3	1831	human	0915:physical association	0004:affinity chromatography technology
P22670	RFX1	5989	Q9P0K8	FOXJ2	55810	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q8BL48	Unk	217331	Q61550	Rad21	19357	mouse	0915:physical association	0004:affinity chromatography technology
Q6P4R8	NFRKB	4798	Q8NBZ0	INO80E	283899	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation; 0364:inferred by curator; 0004:affinity chromatography technology
Q99JB6	Foxp3	20371	Q61823	Pdcd4	18569	mouse	0915:physical association	0004:affinity chromatography technology
P10275	AR	367	P20794	MAK	4117	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation
Q00613	HSF1	3297	Q6IT96	HDAC1	3065	human	0915:physical association	0004:affinity chromatography technology
Q16665	HIF1A	3091	P10275	AR	367	human	0915:physical association	0006:anti bait coimmunoprecipitation
Q9NX65	ZSCAN32	54925	Q9H4T2	ZSCAN16	80345	human	0915:physical association	0004:affinity chromatography technology
P19484	TFEB	7942	P19532	TFE3	7030	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P10276	RARA	5914	Q6FHQ0	RBBP7	5931	human	0915:physical association	0364:inferred by curator
Q8BY02	Nkrf	77286	Q921E6	Eed	13626	mouse	0915:physical association	0004:affinity chromatography technology
P52927	Hmga2	15364	Q9JMD0	Zfp207	22680	mouse	0914:association	0096:pull down
Q9UBB5	MBD2	8932	Q01664	TFAP4	7023	human	0915:physical association	0004:affinity chromatography technology
P17480	UBTF	7343	P50613	CDK7	1022	human	0915:physical association	0364:inferred by curator
Q99459	CDC5L	988	Q9NPF5	DMAP1	55929	human	0914:association	0006:anti bait coimmunoprecipitation
Q8TAQ2	SMARCC2	6601	Q969G3	SMARCE1	6605	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P09874	PARP1	142	O75586	MED6	10001	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
D0VY79	HIF1A	3091	Q96CJ1	EAF2	55840	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P08046	Egr1	13653	Q9QUR7	Pin1	23988	mouse	0915:physical association	0004:affinity chromatography technology
P20263	Pou5f1	18999	P48432	Sox2	20674	mouse	0915:physical association; 0914:association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q16665	HIF1A	3091	Q13950	RUNX2	860	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P19793	RXRA	6256	O60907	TBL1X	6907	human	0915:physical association	0364:inferred by curator
O88609	Lmx1b	16917	O55203	Ldb2	16826	mouse	0407:direct interaction	0018:two hybrid
O54826	Mllt10	17354	Q99JB6	Foxp3	20371	mouse	0915:physical association	0004:affinity chromatography technology
P05412	JUN	3725	P12004	PCNA	5111	human	0914:association	0006:anti bait coimmunoprecipitation
Q64317	Dlx1	13390	Q07424	Cdx4	12592	mouse	0407:direct interaction	0018:two hybrid
Q5SXM2	SNAPC4	6621	O75909	CCNK	8812	human	0915:physical association	0364:inferred by curator
O55144	Tlx3	27140	Q64701	Rbl1	19650	mouse	0407:direct interaction	0018:two hybrid
P03372	ESR1	2099	Q9BUJ2	HNRNPUL1	11100	human	0914:association	0004:affinity chromatography technology
P48432	Sox2	20674	Q9Z2N8	Actl6a	56456	mouse	0914:association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation
Q06546	GABPA	2551	Q15648	MED1	5469	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
P78347	GTF2I	2969	P54821	PRRX1	5396	human	0914:association	0401:biochemical
P37231	PPARG	5468	P49336	CDK8	1024	human	0915:physical association	0364:inferred by curator
P31270	HOXA11	3207	Q12778	FOXO1	2308	human	0915:physical association	0004:affinity chromatography technology
Q9NS56	TOPORS	10210	Q92466	DDB2	1643	human	0915:physical association	0004:affinity chromatography technology
P01106	MYC	4609	P40337	VHL	7428	human	0915:physical association	0004:affinity chromatography technology
P01100	FOS	2353	Q15788	NCOA1	8648	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0096:pull down; 0004:affinity chromatography technology
Q9UBL3	ASH2L	9070	P05412	JUN	3725	human	0915:physical association	0364:inferred by curator
Q15233	NONO	4841	Q92905	COPS5	10987	human	0915:physical association	0004:affinity chromatography technology
O95644	NFATC1	4772	P52926	HMGA2	8091	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P42226	STAT6	6778	Q03936	ZNF92	168374	human	0407:direct interaction	0018:two hybrid
Q96BR9	ZBTB8A	653121	P10074	ZBTB48	3104	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0398:two hybrid pooling approach; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P10827	THRA	7067	Q96JM7	L3MBTL3	84456	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q16649	NFIL3	4783	O14503	BHLHE40	8553	human	0915:physical association	0018:two hybrid
Q9NS56	TOPORS	10210	Q8TAQ2	SMARCC2	6601	human	0915:physical association	0004:affinity chromatography technology
O96028	WHSC1	7468	O60341	KDM1A	23028	human	0915:physical association	0004:affinity chromatography technology
Q15361	TTF1	7270	Q13547	HDAC1	3065	human	0915:physical association	0364:inferred by curator
P01106	MYC	4609	O15105	SMAD7	4092	human	0915:physical association	0004:affinity chromatography technology
Q16665	HIF1A	3091	Q969H0	FBXW7	55294	human	0915:physical association	0004:affinity chromatography technology
P52926	HMGA2	8091	Q15366	PCBP2	5094	human	0407:direct interaction	0096:pull down
P17947	SPI1	6688	P17676	CEBPB	1051	human	0407:direct interaction	0096:pull down
P15408	FOSL2	2355	Q9P1Z2	CALCOCO1	57658	human	0915:physical association	0004:affinity chromatography technology
P04150	NR3C1	2908	Q8TF39	ZNF483	158399	human	0915:physical association	0034:display technology
Q9NVV9	THAP1	55145	Q9Y4X4	KLF12	11278	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
P42568	MLLT3	4300	Q9HB65	ELL3	80237	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
P18146	EGR1	1958	P15884	TCF4	6925	human	0914:association	0006:anti bait coimmunoprecipitation
P04637	TP53	7157	Q9UPW0	FOXJ3	22887	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q16665	HIF1A	3091	P40763	STAT3	6774	human	0915:physical association	0004:affinity chromatography technology
Q96GM5	SMARCD1	6602	Q4FZB7	KMT5B	51111	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q9BXK1	KLF16	83855	Q9P0K8	FOXJ2	55810	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P11161	EGR2	1959	Q6ZW49	PAXIP1	22976	human	0915:physical association	0364:inferred by curator
Q9C0F3	ZNF436	80818	O60341	KDM1A	23028	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q969G3	SMARCE1	6605	Q01844	EWSR1	2130	human	0915:physical association	1313:bioid
Q9NS37	CREBZF	58487	Q14494	NFE2L1	4779	human	0407:direct interaction	0055:fluorescent resonance energy transfer; 0081:peptide array
Q5SXM2	SNAPC4	6621	O60583	CCNT2	905	human	0915:physical association	0364:inferred by curator
Q3TKT4	Smarca4	20586	P59178	L3mbtl2	214669	mouse	0915:physical association	0004:affinity chromatography technology
P48432	Sox2	20674	Q8VDP4	Ccar2	219158	mouse	0914:association	0007:anti tag coimmunoprecipitation
Q6FG41	FOS	2353	P54646	PRKAA2	5563	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
Q9NPF5	DMAP1	55929	Q9Y230	RUVBL2	10856	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0364:inferred by curator; 0004:affinity chromatography technology
P51692	STAT5B	6777	O00165	HAX1	10456	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q15796	SMAD2	4087	Q9UQM7	CAMK2A	815	human	0915:physical association	0813:proximity ligation assay
Q53Z40	ZNF165	7718	A0A087WUM8	ZNF446	55663	human	0407:direct interaction	0018:two hybrid
P04637	TP53	7157	P55318	FOXA3	3171	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P28700	Rxra	20181	P63058	Thra	21833	mouse	0915:physical association	0018:two hybrid
P04637	TP53	7157	P55316	FOXG1	2290	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P01106	MYC	4609	P67809	YBX1	4904	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q6PIV2	FOXR1	283150	Q9Y4A5	TRRAP	8295	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q15910	EZH2	2146	P35398	RORA	6095	human	0915:physical association	0004:affinity chromatography technology
Q99623	PHB2	11331	Q9UL18	AGO1	26523	human	0914:association	0007:anti tag coimmunoprecipitation
Q9H2P0	ADNP	23394	Q01167	FOXK2	3607	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
P41182	BCL6	604	O75586	MED6	10001	human	0407:direct interaction	0096:pull down
Q16665	HIF1A	3091	Q96CJ1	EAF2	55840	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0096:pull down; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q92731	ESR2	2100	Q9BVP2	GNL3	26354	human	0914:association	0029:cosedimentation through density gradient; 0004:affinity chromatography technology
Q16656	NRF1	4899	Q7Z3K3	POGZ	23126	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
O14497	ARID1A	8289	Q8TAQ2	SMARCC2	6601	human	0915:physical association; 0914:association	0019:coimmunoprecipitation; 0004:affinity chromatography technology
Q9BZS1	FOXP3	50943	Q6PIV2	FOXR1	283150	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
O43918	AIRE	326	Q9UER7	DAXX	1616	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q00613	HSF1	3297	Q9ULV5	HSF4	3299	human	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
O60264	SMARCA5	8467	Q8WX92	NELFB	25920	human	0915:physical association	0034:display technology
O43889	CREB3	10488	P51610	HCFC1	3054	human	0915:physical association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0018:two hybrid; 0013:biophysical; 0096:pull down; 0232:transcriptional complementation assay; 0004:affinity chromatography technology
Q99814	EPAS1	2034	A5YKK6	CNOT1	23019	human	0915:physical association	0004:affinity chromatography technology
P17947	SPI1	6688	P12755	SKI	6497	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q01664	TFAP4	7023	P55347	PKNOX1	5316	human	0915:physical association	0004:affinity chromatography technology
P49639	HOXA1	3198	P27986	PIK3R1	5295	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0397:two hybrid array
Q9UBC3	DNMT3B	1789	Q9Y6K1	DNMT3A	1788	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q8NEZ4	KMT2C	58508	Q14686	NCOA6	23054	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0401:biochemical; 0364:inferred by curator; 0004:affinity chromatography technology
P23708	Nfya	18044	Q01147	Creb1	12912	mouse	0915:physical association	0004:affinity chromatography technology
P20823	HNF1A	6927	Q08117	AES	166	human	0407:direct interaction	0018:two hybrid
Q9Y261	FOXA2	3170	Q96RE7	NACC1	112939	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q92993	KAT5	10524	Q6IE81	JADE1	79960	human	0915:physical association	0004:affinity chromatography technology
Q8IYH5	ZZZ3	26009	Q8N8E2	ZNF513	130557	human	0407:direct interaction	0018:two hybrid
P97489	Gata5	14464	P97471	Smad4	17128	mouse	0407:direct interaction	0096:pull down
P10276	RARA	5914	Q92831	KAT2B	8850	human	0915:physical association	0004:affinity chromatography technology
Q6NT76	HMBOX1	79618	P54646	PRKAA2	5563	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 1112:two hybrid prey pooling approach; 0397:two hybrid array; 1356:validated two hybrid
O95644	NFATC1	4772	Q9H2P0	ADNP	23394	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q99593	TBX5	6910	Q9GZV5	WWTR1	25937	human	0915:physical association	0364:inferred by curator
Q9BT81	SOX7	83595	Q99717	SMAD5	4090	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q9H165	BCL11A	53335	O95983	MBD3	53615	human	0915:physical association	0004:affinity chromatography technology
Q8N108	MIER1	57708	Q92769	HDAC2	3066	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
Q6NUN9	ZNF746	155061	Q6FI27	GSK3B	2932	human	0915:physical association; 0407:direct interaction	0018:two hybrid
Q80Z64	Nanog	71950	Q8CFE3	Rcor1	217864	mouse	0914:association	0007:anti tag coimmunoprecipitation
P10276	RARA	5914	P25490	YY1	7528	human	0915:physical association	0364:inferred by curator
Q60644	Nr1h2	22260	Q923E4	Sirt1	93759	mouse	0914:association	0007:anti tag coimmunoprecipitation
Q15554	TERF2	7014	O94842	TOX4	9878	human	0915:physical association	0004:affinity chromatography technology
Q14469	HES1	3280	P31946	YWHAB	7529	human	0915:physical association; 0407:direct interaction	0018:two hybrid
P20263	Pou5f1	18999	O54941	Smarce1	57376	mouse	0915:physical association	0004:affinity chromatography technology
Q15910	EZH2	2146	O15379	HDAC3	8841	human	0915:physical association; 0914:association	0006:anti bait coimmunoprecipitation; 0364:inferred by curator; 0004:affinity chromatography technology
Q02930	CREB5	9586	O14867	BACH1	571	human	0915:physical association	0004:affinity chromatography technology
Q8NEZ4	KMT2C	58508	P19793	RXRA	6256	human	0915:physical association	0364:inferred by curator
O14503	BHLHE40	8553	P15172	MYOD1	4654	human	0407:direct interaction	0096:pull down
P24468	NR2F2	7026	Q01664	TFAP4	7023	human	0915:physical association	0004:affinity chromatography technology
Q61066	Nr0b1	11614	Q80Z64	Nanog	71950	mouse	0915:physical association; 0914:association	0096:pull down; 0007:anti tag coimmunoprecipitation; 0676:tandem affinity purification; 0004:affinity chromatography technology
Q92833	JARID2	3720	Q15022	SUZ12	23512	human	0915:physical association	0364:inferred by curator; 0004:affinity chromatography technology
Q08874	Mitf	17342	Q8C2B3	Hdac7	56233	mouse	0915:physical association	0004:affinity chromatography technology
Q8IVH2	FOXP4	116113	Q9BZS1	FOXP3	50943	human	0915:physical association; 0914:association	0676:tandem affinity purification; 0004:affinity chromatography technology
Q9NS56	TOPORS	10210	P62837	UBE2D2	7322	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0397:two hybrid array
Q92793	CREBBP	1387	P36956	SREBF1	6720	human	0915:physical association; 0914:association; 0407:direct interaction	0401:biochemical; 0096:pull down; 0047:far western blotting; 0004:affinity chromatography technology
Q969G2	LHX4	89884	P81877	SSBP2	23635	human	0915:physical association	0004:affinity chromatography technology
Q86YP4	GATAD2A	54815	Q99459	CDC5L	988	human	0914:association	0006:anti bait coimmunoprecipitation
Q9Y2K1	ZBTB1	22890	Q99608	NDN	4692	human	0407:direct interaction	0018:two hybrid
Q61066	Nr0b1	11614	Q9CSN1	Snw1	66354	mouse	0915:physical association; 0914:association	0007:anti tag coimmunoprecipitation; 0004:affinity chromatography technology
